media-source,campaign,installs appsflyer,impressions,clicks,source_files
organic,None,214098,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,None,34221,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-promo-code-error,28639,0,50594,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
google_organic_seo,None,27969,0,27992,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|RET|Brand - Pure Brand - EX,19857,1573,1241,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SHP|ACQ|All Products - Generics,17940,9280818,111393,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-PDP-download-CTA-fday30-202,13716,0,24952,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-PDP-MDAY-NEWAPP25,11836,0,23480,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-PDP-download-CTA,11233,0,19190,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Brand - EX,11107,101682,82124,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-footer-download-button,8578,0,19838,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,APP|ACQ|Downloads - Android,8017,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-PLP-download-MODAL-mday25,4881,0,8416,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-PDP-download-MODAL-fday40-2024,4654,0,8246,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-PDP-download-MODAL-fday30-2024,4129,0,7468,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-PLP-download-modal,3659,0,5782,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-PLP-download-BANNER-bday-faceswap,3520,0,11652,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-PLP-download-MODAL-fday40-2024,3008,0,5319,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Vday25 - FS android APPINSTALL - Acquisition – Copy,2705,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-PLP-download-MODAL-fday30-2024,2537,0,4665,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SHP|ACQ|Zombie,2490,1032727,12017,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-postpurchase-download-banner-app20,2195,0,7862,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,Shoptimised | Incremental | Performance Max | All Customers | ACQ,2027,4900285,35578,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SHP|ACQ|Valentine's Day 25,2006,0,0,2024-01-01__2025-07-20.csv
website-thortful,web-homepage-download-banne-app20r,1913,0,3607,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Birthday - MM,1908,104601,17779,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SHP|ACQ|All Products - Brand,1806,5043959,9132,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SHP|ACQ|Christmas 24,1787,0,0,2024-01-01__2025-07-20.csv
website-thortful,web-account-download-banner-app20,1716,0,5257,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-blog-face-swap,1402,0,2238,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-PLP-download-MODAL-bday-faceswap,1362,0,3297,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-postpurchase-download-banner,1356,0,4067,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SHP|ACQ|Birthday - Generics,1202,9725311,119316,2024-01-01__2025-07-20.csv
bloomreach,BAU,1186,0,14048,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Valentines24 - Interests - Acquisition,1022,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Brand - Long Tail Brand - BR,975,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Generic Cards - MM,968,32206,4801,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-blog-download-link,943,0,1975,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|RET|Birthday - MM,922,4088,1295,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SHP|ACQ|Father's Day 25,861,0,0,2024-01-01__2025-07-20.csv
impactradius_int,GET35OFFAPP,832,0,3521,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
emarsys,app40_postpurchase,831,0,2251,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Valentines24 - Catalogue - Acquisition,825,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Mothers24 - Demographics - Acquisition,823,0,0,2024-01-01__2025-07-20.csv
Apple Search Ads,18861888,815,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Vday25 - FS android - Acquisition,804,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Valentines24 - Demographics - Acquisition,786,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Valentines24 - Dynamic - Acquisition,763,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Fday24 - Demographics - Acquisition,701,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,Shoptimised | IP | Incremental | Performance Max |ACQ|,693,204084,1491,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
bloomreach,BAU_v_220125_faceswap_bday,678,0,9274,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Vday25 - FS android APPINSTALL - retention,670,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Valentines24 - T2 - acquisition,661,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|ACQ|Mother's Day 25,658,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|RET|All Products - Generics,643,189534,2742,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-homepage-download-banner,638,0,1064,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mday25 - FS android - Acquisition,621,0,0,2024-01-01__2025-07-20.csv
website-thortful,web-PLP-download-MODAL-vday-faceswap,609,0,1449,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SHP|ACQ|Father's Day 24,560,21844,204,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|ACQ|Valentine's Day 24 (v2),548,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|INT|Send to UK - MM,529,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
website-thortful,web-PLP-download-BANNER-vday-faceswap,516,0,1625,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Vday25 - Interests - Retention,515,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Generic Cards - BR,510,37587,2799,2024-01-01__2025-07-20.csv
website-thortful,web-account-download-banner,505,0,1171,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Fday24 - Interests - Acquisition,504,0,0,2024-01-01__2025-07-20.csv
transactional_postmark,footer-transactional,501,0,3056,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Valentines24 - Interests - Retention,489,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Valentine's - EX,470,0,0,2024-01-01__2025-07-20.csv
emarsys,crm-header-logo,467,4,5552,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,None,466,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|ACQ|Anniversary,463,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Valentines24 - Catalogue - Retention,443,0,0,2024-01-01__2025-07-20.csv
bloomreach,BAU_M_050325_MDfaceswap,430,0,4426,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Acquisition_FD25_Interests,409,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Vday25 - Interests - Acquisition,401,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SHP|RET|Birthday - Generics,372,942856,14253,2024-01-01__2025-07-20.csv
print,print_App40Flyer2024,368,0,722,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Birthday - BR,367,69016,7038,2024-01-01__2025-07-20.csv
QR_code,Face-swap-flyer-14-Jan,363,0,653,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Valentines24 - Advantage - Acquisition v2 Campaign,345,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Father's Day - EX,342,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Mothers24 - Catalogue - Acquisition,334,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|ACQ|Mother's Day 24,333,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Valentine's - BR,327,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Congratulations - MM,327,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SHP|RET|Christmas 24,324,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Valentines24 - Styles - Acquisition,310,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Mday25 - FS android - Retention,308,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Valentines24 - Demographics - Retention,305,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Vday25 - Demographics - Retention,302,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Vday25 - hero - Retention,302,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Acquisition_FD25_Demographics,297,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
duckduckgo_organic_seo,None,293,0,293,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Summer24 - BAU - Retention,285,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Vday25 - FS android - Retention,280,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
yahoo_organic_seo,None,278,0,278,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Valentines24 - Dynamic - Retention,269,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|DSA,267,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Anniversaries - MM,265,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Acquisition_FD25_T2,259,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|RET|Generic Cards - MM,254,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mothers24 - Demographics - Retention,248,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Congratulations - BR,242,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,FDay24 - Styles - Acquisition,237,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Retention_FD25_T2,235,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Vday25 - Demographics - Acquisition,224,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Mother's Day - EX,210,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Valentines24 - T2 - retention,209,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Congratulations - MM,207,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Vday25 - Catalogue - Retention,206,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Retention_FD25_Demographics,203,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mday25 - Interests - Acquisition,199,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Valentines24 - ProductRetargeting - Acquisition,198,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Christmas - BR,198,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Christmas24 - Interests - Retention,193,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Christmas24 - Demographics - Retention,186,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Autumn24 - BAU - Retention,186,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Anniversaries - BR,186,384,72,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Acquisition_FD25_Hero,183,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Retention_FD25_FSAndroid,181,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|RET|Generic Cards - BR,180,5711,1020,2024-01-01__2025-07-20.csv
Facebook Ads,Valentines24 - Styles - Retention,180,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Mothers24 - Catalogue - Retention,177,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Fday24 - Demographics - Retention,174,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Spring24 - Catalogue - Retention,174,959492,19391,2024-01-01__2025-07-20.csv
Facebook Ads,Vday25 - Catalogue - Acquisition,171,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Retention_FD25_Interests,168,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Engagements & Weddings - MM,168,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
emarsys,app180424,164,0,442,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mothers24 - Styles - Acquisition,164,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Christmas - EX,163,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Vday25 - Online thoughtful - Acquisition,162,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mothers24 - Dynamic - Acquisition,160,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Vday25 - T2 - Acquisition,154,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Fday24 - WkT-3 - Acquisition,152,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Valentines24 - ProductRetargeting - Retention,146,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Anniversaries - MM,144,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mday25 - Demographics - Acquisition,142,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Christmas24 - Hero - Retention,140,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Brand - Long Tail Brand - EX,139,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Vday25 - Online Overwhelmed - Acquisition,136,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Birthday - MM Google Ads Tag,135,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,Shoptimised | Performance MAX | NoClicks | New Customers Only | Incremental ACQ,134,254869,1212,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mday25 - Interests - Retention,133,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mday25 - Demographics - Retention,132,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mday25 - Hero - Acquisition,131,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
tiktokglobal_int,Valentines25 - Hero - Acquisition,129,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mothers24 - Interests - Retention,127,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Vday25 - T2 - Retention,127,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mothers24 - Interests - Acquisition,126,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Mday25 - T2 - Acquisition,125,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Vday25 - T1 Creative - Retention,125,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Interests - BR,125,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Animals - BR,124,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Father's Day - BR,123,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Mday25 - Misc - Acquisition,115,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Brand - BR,113,1175,327,2024-01-01__2025-07-20.csv
tiktokglobal_int,FD25 - Acquisition - Tiktok,111,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|INT|Send Abroad - BR,108,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Mother's Day - BR,108,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Newyear24 - Dynamic - Retention,107,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Mothers24 - A+ - acquisition Campaign,105,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|RET|All Products - Brand,104,14622,103,2024-01-01__2025-07-20.csv
Facebook Ads,Mothers24 - Styles - Retention,103,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Mother's Day - DSA,103,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,NewYear24A - Style - Acquisition,101,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Retention_FD25_Hero,101,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Thank You - BR,101,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Birthday - BR,100,4981,809,2024-01-01__2025-07-20.csv
Facebook Ads,NewYear24 - Style - Retention,100,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,NewYear24 - Catalogue - retention,100,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Just Because - BR,100,1507,100,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Christmas - EX,99,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Fday24 - Interests - Retention,99,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Retention_FD25_Targeted,99,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
