media-source,campaign,installs appsflyer,impressions,clicks,source_files
googleadwords_int,SER|ACQ|Congratulations - BR,98,11923,873,2024-01-01__2025-07-20.csv
card-back-thortful,card-back-vday-faceswap,96,0,205,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mday25 - T1 - Retention,92,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|RET|Father's Day - EX,91,0,0,2024-01-01__2025-07-20.csv
bing_organic_seo,None,91,0,91,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|RET|INT|Send to UK - EX,89,147,131,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Valentines24 - previousbuyers - retention,86,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,DMG|ACQ|Valentine's Day 25,86,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Valentine's - BR,85,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,FDay24 - Dynamic - Acquisition,84,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Valentines24 - Gifting - Retention,83,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Sympathy - EX,83,1295,160,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Christmas24 - Styles - Retention,82,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Retention_FD25_HighPotential,81,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Q225 - Anniversary - Retention,79,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
tiktokglobal_int,MD25 - Carousel - Acquisition,79,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,Shoptimised | Performance MAX | NoClicks | Incremental ACQ,79,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Acquisition_FD25_FSAndroid,78,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Leaving - BR,78,3318,385,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Birthday - MM Corvidae Test - Birthday Acq,77,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Mday25 - Hero - Retention,75,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Acquisition_FD25_HighPotential,74,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,Shoptimised | Incremental | Performance Max | Thank you & Others | ACQ,74,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Leaving - MM,74,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Q1FY25 - BAU - Retention,73,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
bloomreach,BAU_F_020625_FDThePerfectCard,72,0,3016,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Vday25 - retargeting - Retention,72,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Social_Influencers,pr-influencer-face-swap-2025-01-27,71,0,370,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,FDay24 - Catalogue - Acquisition,70,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Interests - MM,70,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Good Luck - BR,69,0,0,2024-01-01__2025-07-20.csv
af_banner,fullscreen_homepage_test1,69,907,154,2024-01-01__2025-07-20.csv
google_organic_seo,our-tonys-chocolonely-gifts,69,0,69,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Christmas - BR,68,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Vday25 - Advantage+ - Acquisition Campaign,68,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mday25 - Misc - Retention,67,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Q225 - Birthday - Retention,67,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Retention_FD25_T1,66,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Valentines24 - video - retention,65,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|RET|Father's Day 24,64,0,0,2024-01-01__2025-07-20.csv
print,app_20_flyer,64,0,82,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,FDay24 - Styles - Retention,64,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Engagements & Weddings - BR,64,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|TV Shows - MM,64,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Vday25 - T1 Creative - Acquisition,63,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Retention_FD25_Statics,63,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|RET|Engagements & Weddings - MM,63,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,DMG|ACQ|Mother's Day 25,62,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Thank You - BR,62,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
ecosia_organic_seo,None,61,0,61,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Spring24 - Anniversary - Retention,60,868942,9396,2024-01-01__2025-07-20.csv
Facebook Ads,Mday25 - targeted - Retention,58,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|INT|Send to UK - BR,57,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Retention_Summer25_Anniversary,57,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Birthday - MM Corvidae Test,56,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Anniversaries - BR,56,6049,630,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Mother's Day - EX,56,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,DMG|ACQ|Mother's Day 24,56,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Christmas - EX Corvidae Test - Christmas Returning,55,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|RET|Father's Day 25,54,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Generic Cards - MM - tROAS Test,54,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Generic Cards - BR Corvidae Test,54,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Acquisition_FD25_Targeted,53,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Christmas24 - Demographics - Acquisition,51,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Gifts - BR,50,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|INT|Send to UK - EX - tROAS Test,50,0,0,2024-01-01__2025-07-20.csv
Twitter,Mother24 - Bestsellers - Acquisition,50,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,FDay24 - Catalogue - Retention,49,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Christmas24 - Hero - Acquisition,49,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Get Well Soon - BR,49,1887,146,2024-01-01__2025-07-20.csv
Facebook Ads,Fday24 - Trialists - Retention,48,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Generic Cards - EX Corvidae Test - Generic Acq EX,48,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Mothers24 - Dynamic - Retention,48,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,FDay24 - Dynamic - Retention,47,0,0,2024-01-01__2025-07-20.csv
website-thortful,web-PLP-download-BANNER-mday-faceswap,47,0,189,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
google_organic_seo,flower-and-plants,46,0,47,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Sorry - MM,45,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mothers24 - retargeting - Retention,44,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Generic Cards - BR Corvidae Test - Generic Acq Broad,43,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Brand - Pure Brand - BR,43,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SHP|ACQ|Birthday,43,0,0,2025-07-21__2025-08-19.csv
googleadwords_int,SER|ACQ|Generic Cards - EX SER|ACQ|Generic Cards - EX - Corvidae Test,42,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Fday24 - Retargeting - Retention,41,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Spring24 - Retargeting - Retention,41,224128,6978,2024-01-01__2025-07-20.csv
Facebook Ads,Mothers24 - retargeting - Acquisition,41,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Retention_FD25_FSIOS,40,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|RET|Gifts - BR,40,0,0,2024-01-01__2025-07-20.csv
website-thortful,web-PDP-download-MODAL-fday30-paid-2024,40,0,100,2024-01-01__2025-07-20.csv
Facebook Ads,Summer24 - BAU - Acquisition,39,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Acquisition_FD25_T1,38,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Christmas24 - Interests - Acquisition,38,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Autumn24 - BAU - Acquisition,38,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|RET|Congratulations - Generics,37,21319,353,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Good Luck - BR,37,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Sympathy - BR,36,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Christmas - EX Corvidae Test - Christmas Acquisition,36,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Jan25 - Apptest - Retention,35,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Thank You - MM,35,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Mother's Day - BR Promo Code Test - March 25,34,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Creators - EX,34,0,0,2024-01-01__2025-07-20.csv
Twitter,Valentines24 - Trending - Acquisition,33,0,0,2024-01-01__2025-07-20.csv
tiktokglobal_int,Valentines25 - Demographics - Acquisition,32,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Mday25 - targeted - Acquisition,31,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Q225 - Birthday - Acquisition,31,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,fathers-day-gifts,31,0,0,2024-01-01__2025-07-20.csv
bloomreach,BAU_F_210525_Faceswap,30,0,416,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,22154270364,30,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Spring24 - Birthday - Retention,30,325587,4295,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|INT|Send Abroad - BR,30,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Newyear24A - Dynamic - Acquisition,30,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Animals - MM,30,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Spring24 - Interests - Retention,29,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Christmas24 - UGC - Retention,29,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Mother's Day - EX Corvidae Final Test,29,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Get Well Soon - MM,29,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Retention_Summer25_Cardpacks,29,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Valentines24 - T1 - Acquisition,28,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,DMG|ACQ|Test- Birthday 24,28,280787,8853,2024-01-01__2025-07-20.csv
Facebook Ads,Spring24A - Catalogue - Acquisition,27,126532,3632,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Birthday - MM Corvidae LSTM Final Pilot Test,26,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Just Because - BR,26,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Generic Cards - MM - Google Ads Tag Test,26,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Vday25 - Advantage+ - Retention Campaign,25,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Mothers24 - Last Chance - Acquisition,25,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Jan25 - rebrand - Retention,25,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Mday25 - discounttest - Retention,24,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Retention_Summer25_Birthday,23,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Vday25 - T0 - Retention,23,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|ACQ|Valentine's Day 25 - Gifts,23,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Retention_FD25_Promo,22,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Fday24 - Previous Buyers - Retention,22,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|ACQ|Christmas 24 - Gifts,22,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,DMG|RET|Christmas 24,22,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Animals - BR,22,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|INT|Send Abroad - MM,22,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
tiktokglobal_int,FD25 - Retention - Tiktok,21,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Valentines24 - Gifting - Retention – reach,21,0,0,2024-01-01__2025-07-20.csv
google_organic_seo,confectionery,21,0,21,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|RET|TV Shows - MM,21,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Spring24 - Demographics - Retention,20,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Valentines24 - T1 - Retention,20,0,0,2024-01-01__2025-07-20.csv
google_organic_seo,christmas-card-packs,20,0,20,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|RET|Taylor Swift - Generics,20,4767,49,2024-01-01__2025-07-20.csv
Facebook Ads,Christmas24 - Styles - Acquisition,20,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Q225 - Spring Discount Campaign - Retention,20,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|RET|Engagements & Weddings - BR,20,91,15,2024-01-01__2025-07-20.csv
Facebook Ads,Retention_Summer25_Anniversary_corvidae,20,0,0,2025-07-21__2025-08-19.csv
googleadwords_int,SER|ACQ|Generic Cards - EX Corvidae LSTM,19,0,0,2024-01-01__2025-07-20.csv
tiktokglobal_int,Valentines25 - Hero - Retention,19,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SHP|RET|Engagement - Generics,19,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Interests - BR,19,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Faith - MM,19,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,Valentines Day,18,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Valentines - staticretargeting - retention,18,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|INT|Send to UK - BR,18,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Father's Day - BR,18,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Fday24 - week 1 - Acquisition,18,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Faith - BR,18,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,DMG|RET|Test- Birthday 24,18,34785,416,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|TV Shows - EX,18,1677,364,2024-01-01__2025-07-20.csv
googleadwords_int,SER|ACQ|Just Because - MM,18,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Fday24 - Retargeting - Acquisition,17,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Valentines24 - Dynamic - Acquisition – lookalike,17,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Q225 - Anniversary - Acquisition,17,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Spring24A - Demographics - Acquisition,17,102588,985,2024-01-01__2025-07-20.csv
emarsys,None,16,0,3834,2024-01-01__2025-07-20.csv
test,test-kirill,16,0,30,2024-01-01__2025-07-20.csv
bloomreach,BAU_G_120525_ThisisThat,16,0,5855,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Trends - EX,15,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|ACQ|Father's Day 25 - Gifts,15,0,0,2024-01-01__2025-07-20.csv
bloomreach,BAU_G_090425_Photocards,15,0,96,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,APP|ACQ|Downloads - iOS,15,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Leaving - MM,15,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|RET|Interests - MM,15,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SER|ACQ|Gifts - MM,15,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
Facebook Ads,Acquisition_Summer25_Anniversary,15,0,0,2025-07-21__2025-08-19.csv
googleadwords_int,SER|RET|Valentine's - EX,14,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,FDay24 - WkT-2 - Acquisition,14,0,0,2024-01-01__2025-07-20.csv
website-thortful,web-PLP-download-MODAL-fday30-paid-2024,14,0,36,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
bloomreach,BAU_EMAIL_AppBenefits_14_08_25,14,0,2165,2025-07-21__2025-08-19.csv
googleadwords_int,SER|RET|INT|Send Abroad - EX,13,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,Performance Max|ACQ|Gifts,13,0,0,2024-01-01__2025-07-20.csv
Facebook Ads,Acquisition_Summer25_Birthday,13,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,DMG|ACQ|Valentine's Day 24,13,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SHP|RET|Mother's Day 25,13,0,0,2024-01-01__2025-07-20.csv
Twitter,Fday24 - Bestsellers - Acquisition,13,0,0,2024-01-01__2025-07-20.csv
google_organic_seo,alcohol,13,0,13,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,SHP|ACQ|Wedding,13,0,0,2025-07-21__2025-08-19.csv
Facebook Ads,Spring24 - Birthday - Acquisition,12,48522,546,2024-01-01__2025-07-20.csv
Facebook Ads,Q1FY25 - BAU - Acquisition,12,0,0,"2024-01-01__2025-07-20.csv, 2025-07-21__2025-08-19.csv"
googleadwords_int,letterbox,12,0,0,2024-01-01__2025-07-20.csv
googleadwords_int,SER|RET|Leaving - BR,12,0,0,2024-01-01__2025-07-20.csv
